text1,text2,prediction,probab_0,probab_1
This church choir sings to the masses as they sing joyous songs from the book at a church.,The church is filled with song.,0,0.6979684233665466,0.30203160643577576
This church choir sings to the masses as they sing joyous songs from the book at a church.,A choir singing at a baseball game.,0,0.5304444432258606,0.4695555567741394
"A woman with a green headscarf, blue shirt and a very big grin.",The woman is very happy.,1,0.40360310673713684,0.5963969230651855
"A woman with a green headscarf, blue shirt and a very big grin.",The woman has been shot.,1,0.36802878975868225,0.6319712400436401
An old man with a package poses in front of an advertisement.,A man poses in front of an ad.,0,0.608264684677124,0.391735315322876
An old man with a package poses in front of an advertisement.,A man walks by an ad.,1,0.4246182143688202,0.5753817558288574
A statue at a museum that no seems to be looking at.,There is a statue that not many people seem to be interested in.,1,0.42658719420433044,0.5734128355979919
A statue at a museum that no seems to be looking at.,Tons of people are gathered around the statue.,1,0.4019920825958252,0.5980079770088196
A land rover is being driven across a river.,A Land Rover is splashing water as it crosses a river.,0,0.6702431440353394,0.32975682616233826
A land rover is being driven across a river.,A vehicle is crossing a river.,1,0.3529720902442932,0.6470279097557068
A land rover is being driven across a river.,A sedan is stuck in the middle of a river.,1,0.30917423963546753,0.6908257603645325
A man playing an electric guitar on stage.,A man playing banjo on the floor.,0,0.5334345102310181,0.46656548976898193
A man playing an electric guitar on stage.,A man playing guitar on stage.,0,0.7522875666618347,0.24771249294281006
A blond-haired doctor and her African american assistant looking threw new medical manuals.,A doctor is looking at a book,0,0.5152152180671692,0.4847847819328308
A blond-haired doctor and her African american assistant looking threw new medical manuals.,A man is eating pb and j,1,0.17577117681503296,0.824228823184967
"One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground.",A boy runs into a wall,0,0.721578061580658,0.27842196822166443
"One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground.",A tan girl runs leans over an object,0,0.9001500606536865,0.09984993189573288
A young family enjoys feeling ocean waves lap at their feet.,A family is out at a restaurant.,1,0.3006848096847534,0.6993152499198914
A young family enjoys feeling ocean waves lap at their feet.,A family is at the beach.,1,0.36586010456085205,0.634139895439148
A couple walk hand in hand down a street.,A couple is walking together.,1,0.35644209384918213,0.6435579657554626
A couple walk hand in hand down a street.,A couple is sitting on a bench.,1,0.3691389858722687,0.6308609843254089
3 young man in hoods standing in the middle of a quiet street facing the camera.,Three people sit by a busy street bareheaded.,1,0.38171133399009705,0.6182886958122253
3 young man in hoods standing in the middle of a quiet street facing the camera.,Three hood wearing people pose for a picture.,1,0.35834765434265137,0.6416523456573486
3 young man in hoods standing in the middle of a quiet street facing the camera.,Three hood wearing people stand in a street.,1,0.4364534318447113,0.5635465383529663
A man reads the paper in a bar with green lighting.,The man is inside.,0,0.5748767256736755,0.4251232445240021
A man reads the paper in a bar with green lighting.,The man is climbing a mountain.,0,0.6154207587242126,0.38457927107810974
Three firefighter come out of subway station.,Three firefighters coming up from a subway station.,1,0.2842608094215393,0.7157391905784607
Three firefighter come out of subway station.,Three firefighters playing cards inside a fire station.,1,0.26460233330726624,0.7353976368904114
"A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground.",A person is near a pile of coconuts.,0,0.7464558482170105,0.2535441219806671
"A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground.",A person is burning a straw hat.,0,0.7671471238136292,0.23285287618637085
Male in a blue jacket decides to lay in the grass.,The guy in yellow is rolling on the grass,1,0.4490964412689209,0.5509034991264343
Male in a blue jacket decides to lay in the grass.,The guy wearing a blue jacket is laying on the green grass,0,0.5099961757659912,0.4900038540363312
During calf roping a cowboy calls off his horse.,A man ropes a calf successfully.,1,0.3162568211555481,0.6837431192398071
A little boy in a gray and white striped sweater and tan pants is playing on a piece of playground equipment.,A boy is on a playground.,0,0.6492648124694824,0.3507351279258728
A little boy in a gray and white striped sweater and tan pants is playing on a piece of playground equipment.,The boy is sitting on the school bus on his way home.,1,0.4912022650241852,0.5087977647781372
A woman wearing a ball cap squats down to touch the cracked earth.,A squatting woman wearing a hat touching the ground.,1,0.31653714179992676,0.6834628582000732
A woman wearing a ball cap squats down to touch the cracked earth.,A woman wearing a sun bonnet planting a garden.,1,0.323285311460495,0.6767146587371826
Two children re laying on a rug with some wooden bricks laid out in a square between them.,Two children are playing catch at a park.,1,0.36573195457458496,0.6342679858207703
Two children re laying on a rug with some wooden bricks laid out in a square between them.,Two children are on a rug.,0,0.5961824059486389,0.4038175940513611
A man standing in front of a building on the phone as two men to the side pain on the side.,a guy near a building stands by two other men,0,0.6016696691513062,0.39833033084869385
A man standing in front of a building on the phone as two men to the side pain on the side.,two girls walk through a hall,1,0.429708868265152,0.5702911615371704
"The two young girls are dressed as fairies, and are playing in the leaves outdoors.",Girls are playing outdoors.,1,0.48768460750579834,0.5123153924942017
"The two young girls are dressed as fairies, and are playing in the leaves outdoors.",Two girls play dress up indoors.,0,0.5928226113319397,0.4071773886680603
People jump over a mountain crevasse on a rope.,People are jumping outside.,1,0.3118442893028259,0.6881556510925293
People jump over a mountain crevasse on a rope.,People slide over a mountain crevasse on a slide.,0,0.7704818248748779,0.22951817512512207
A snowboarder on a wide plain of snow,A snow field with a snowboarder on it,0,0.7155094146728516,0.2844906449317932
An older women tending to a garden.,The lady is cooking dinner,0,0.5037379860877991,0.49626198410987854
An older women tending to a garden.,The lady has a garden,0,0.6665894389152527,0.3334105312824249
A man in a black shirt overlooking bike maintenance.,A man destroys a bike.,1,0.49590325355529785,0.5040968060493469
A man in a black shirt overlooking bike maintenance.,A man watches bike repairs.,0,0.5083197355270386,0.4916802644729614
A man in a black shirt is looking at a bike in a workshop.,A man is wearing a red shirt,0,0.5364812016487122,0.46351882815361023
A man in a black shirt is looking at a bike in a workshop.,A man is in a black shirt,0,0.6106842160224915,0.38931578397750854
A man looking over a bicycle's rear wheel in the maintenance garage with various tools visible in the background.,A person is in a garage.,1,0.37927284836769104,0.6207271814346313
A man looking over a bicycle's rear wheel in the maintenance garage with various tools visible in the background.,A man repairs bicycles.,1,0.43734100461006165,0.5626590251922607
A man looking over a bicycle's rear wheel in the maintenance garage with various tools visible in the background.,A man waits outside a garage.,0,0.5184574127197266,0.48154252767562866
"Three people sit on a bench at a station, the man looks oddly at the two women, the redheaded women looks up and forward in an awkward position, and the yellow blond girl twiddles with her hair.",Some people stand around.,0,0.5897077322006226,0.41029226779937744
"Three people sit on a bench at a station, the man looks oddly at the two women, the redheaded women looks up and forward in an awkward position, and the yellow blond girl twiddles with her hair.",People run together.,1,0.4828331470489502,0.5171668529510498
"Three people sit on a bench at a station, the man looks oddly at the two women, the redheaded women looks up and forward in an awkward position, and the yellow blond girl twiddles with her hair.",People wait at a station.,0,0.5322977900505066,0.46770215034484863
A child wearing a red top is standing behind a blond headed child sitting in a wheelbarrow.,A child wearing a red top is standing behind a blond headed child,0,0.907069742679596,0.09293030947446823
A child wearing a red top is standing behind a blond headed child sitting in a wheelbarrow.,A child wearing a red top is standing on top of a blond headed child,0,0.9086421728134155,0.09135790169239044
"A person dressed in a dress with flowers and a stuffed bee attached to it, is pushing a baby stroller down the street.",A lady sitting on a bench in the park.,1,0.405502051115036,0.5944979190826416
"A person dressed in a dress with flowers and a stuffed bee attached to it, is pushing a baby stroller down the street.",A person outside pushing a stroller.,0,0.6482864022254944,0.351713627576828
A dog jumping for a Frisbee in the snow.,A cat washes his face and whiskers with his front paw.,1,0.3314099907875061,0.6685900092124939
A dog jumping for a Frisbee in the snow.,"An animal is outside in the cold weather, playing with a plastic toy.",1,0.39081454277038574,0.6091854572296143
People are conversing at a dining table under a canopy.,People are talking underneath a covering.,1,0.2522718906402588,0.747728168964386
People are conversing at a dining table under a canopy.,People are screaming at a boxing match.,1,0.18458370864391327,0.8154162764549255
A girl playing a violin along with a group of people,A girl is washing a load of laundry.,0,0.5002300143241882,0.4997699558734894
A girl playing a violin along with a group of people,A girl is playing an instrument.,0,0.573872983455658,0.42612704634666443
A woman within an orchestra is playing a violin.,A woman is playing the violin.,0,0.7144803404808044,0.2855195999145508
A woman within an orchestra is playing a violin.,A man is looking in a telescope.,1,0.33235326409339905,0.6676467061042786
"Three men, one holding pipes, another holding a large object above his head, and one resting against the pipe bed on the truck, are looking at the camera.",three men look at the camera,0,0.6844576597213745,0.3155423700809479
"Three men, one holding pipes, another holding a large object above his head, and one resting against the pipe bed on the truck, are looking at the camera.",three men sleeping in a tent,1,0.3816033601760864,0.6183966994285583
A Ford car is making a right turn as 3 males are walking across the street behind the car.,A car making a right turn had three pedestrians cross behind it.,0,0.6068875193595886,0.393112450838089
Three boys in white shirts are walking behind an older model Ford car.,there are three boys,1,0.3365864157676697,0.6634136438369751
Three boys in white shirts are walking behind an older model Ford car.,There are three girls,1,0.32233819365501404,0.6776617765426636
Three boys in white shirts are walking behind an older model Ford car.,The boys are on the street,1,0.4607146978378296,0.5392853021621704
Three girls blow out the candles of a cake made of Peeps.,Some people are blowing out candles,0,0.513583242893219,0.4864167273044586
Three girls blow out the candles of a cake made of Peeps.,There are three girls and a cake,0,0.7494063973426819,0.25059354305267334
Three girls blow out the candles of a cake made of Peeps.,There are peeps in the garden.,1,0.380089670419693,0.6199103593826294
A crowd of people looking up at 3 people on the edge of the roof of a building.,The crowd on the ground is watching 3 people on the roof's edge.,0,0.7117737531661987,0.28822624683380127
A crowd of people looking up at 3 people on the edge of the roof of a building.,Three people are climbing down the ladder on the building.,1,0.4043402373790741,0.5956597924232483
A woman working long hours.,A woman is working.,1,0.303817480802536,0.6961824893951416
A woman working long hours.,A woman is sleeping.,1,0.32276153564453125,0.6772384643554688
Two teenage girls conversing next to lockers.,Girls talking next to the toilet.,1,0.2819465398788452,0.7180534601211548
Two teenage girls conversing next to lockers.,People talking next to lockers.,1,0.3717738389968872,0.6282261610031128
An old woman watches a man look down at some balls on the ground.,Two people are sleeping on the train.,1,0.3520348072052002,0.6479651927947998
"Two children, both wearing tan coats, are embracing one another.",Two kids are hugging.,1,0.30921852588653564,0.6907814145088196
"Two children, both wearing tan coats, are embracing one another.",Two kids are running down a highway.,1,0.28070348501205444,0.7192965149879456
2 kids who look related are hanging out with 1 of them looking very emotional and hugging the other.,Two kids were hugging.,1,0.3526712954044342,0.6473286747932434
2 kids who look related are hanging out with 1 of them looking very emotional and hugging the other.,Two youths were pushing each other.,1,0.21551387012004852,0.7844861745834351
A large number of people wearing only white and red are walking on a street.,A large number of people wearing black walking down the street.,1,0.4294315278530121,0.5705684423446655
A large number of people wearing only white and red are walking on a street.,A large number of people walking on a street.,1,0.42538291215896606,0.5746170878410339
A guy riding a motorcycle near junk cars,A man is riding a motorcycle.,1,0.467099130153656,0.532900869846344
A guy riding a motorcycle near junk cars,A man is sitting on a parked motorcycle waiting for his friend.,1,0.3719295263290405,0.6280704736709595
"Women of India performing with blue streamers, in beautiful blue costumes.",indian women perform together in gorgeous costumes,0,0.9058089852333069,0.09419099986553192
"Women of India performing with blue streamers, in beautiful blue costumes.",dogs sniff the air,1,0.48002639412879944,0.519973635673523
A professional swimmer spits water out after surfacing while grabbing the hand of someone helping him back to land.,A person is swimming.,1,0.21342654526233673,0.7865734696388245
A professional swimmer spits water out after surfacing while grabbing the hand of someone helping him back to land.,The swimmer is eating a toasted marshmallow.,1,0.4891256093978882,0.5108743906021118
The man in the black wetsuit is walking out of the water.,a person is walking out of water.,0,0.5811609625816345,0.4188390374183655
The man in the black wetsuit is walking out of the water.,A man is laying on the beach.,0,0.7032986879348755,0.2967013418674469
Five girls and two guys are crossing a overpass.,The three men sit and talk about their lives.,1,0.2990208864212036,0.7009791135787964
Five girls and two guys are crossing a overpass.,There are people outside.,1,0.2896936535835266,0.7103063464164734
